campaign_id,campaign_name,campaign_status,analytics_bounce_count,analytics_blocked_count,leads_pulled_count
1502365,Job Change-Non Live Clients- Australia,COMPLETED,8,7,7
2548435,GCC Q2 Data 2nd cycle,COMPLETED,10,4,9
2354717,2023 Repository - GCC - Building materials,COMPLETED,7,7,7
1910805,HR India data - 09.05.25 - Set 2,COMPLETED,7,7,9
1827325,"BFSI Loyal life data India- CX, Loyalty and rewards",COMPLETED,7,7,7
1818722,Job change data US - 22.04.25,COMPLETED,2,12,14
2631318,Job change Nov 2025 - South Africa,COMPLETED,11,2,11
2520497,Gcc clients Xo,COMPLETED,11,2,11
2487880,Aquil - HR,COMPLETED,10,3,11
2288959,SAP List  - Mahima US 2,COMPLETED,10,3,10
2278246,Airlines - Plum API - 3,COMPLETED,7,6,8
2261552,Agentic AI Email,COMPLETED,6,7,8
2211705,BFSI Loyal life data - Africa,COMPLETED,8,5,12
2194880,All regions pipeline - Content 1,COMPLETED,3,10,11
2051638,HR Data Phillippines - Set 2,COMPLETED,7,6,8
1849487,Abhimanyu US F2F ,COMPLETED,9,4,11
1826470,Data for Kushal's Alumni Track,COMPLETED,7,6,6
1534294,CAM List- Manufacturing,COMPLETED,4,9,9
3178227,P0-C1-Plum-API-Warm-Apr2026,ACTIVE,7,5,8
3077668,SAP SF REPS (Americas) - Amy,PAUSED,11,1,10
2893785,KSA HR and Procurement Batch 1 ,COMPLETED,10,2,11
2502452,Saudi Arabia - Ahmad - Cycle 2- Loyalife,COMPLETED,6,6,7
2502014,Ignyte Website Companies Data - GCC - September - 2nd cycle,COMPLETED,8,4,10
2279311,SAP POC's Data Global - US,COMPLETED,7,5,7
2270625,Content for SAP content written by our team - Director,COMPLETED,6,6,6
2245705,Ignyte Website Companies Data - India,COMPLETED,6,6,8
2142166,GCC Q2 Data - 2024,COMPLETED,4,8,10
2132859,Funded Companies -Set 2 - India,COMPLETED,6,6,9
1642394,Conglomerates India Poc -Ankit Bajaj,COMPLETED,6,6,6
3151695,Pre event - Quirk,PAUSED,11,0,7
2901961,Indonesia Ramadan Batch 1,PAUSED,6,5,6
2480559,DarwinBox Client list-Aug-2025,COMPLETED,8,3,8
2467249,Abhijit Bhaduri - HR,COMPLETED,5,6,8
2415646,Conglomerates India 2025 - 1,COMPLETED,5,6,7
2311289,"Competition Campaign: Advantage club, OC tanner",COMPLETED,8,3,8
2051615,HR Data Phillippines - Set 1,COMPLETED,5,6,6
1827052,BFSI Loyal life data Africa - Cards,COMPLETED,7,4,7
1727604,Nikunj's CAM 2nd cycle- Part 2,COMPLETED,6,5,7
1577668,CAM List- NBFC,COMPLETED,6,5,5
1534453,CAM List - BFSI,COMPLETED,4,7,7
3168660,Self Track - Accounts > 500 employees (HRs),PAUSED,6,4,6
2942955,Airlines - Plum API (2026) - Africa - BATCH 1,STOPPED,7,3,7
2776205,Procurement Last Minute Festive Gifting - Batch 2,COMPLETED,7,3,7
2772389,Festive Gifting HR India Q4,COMPLETED,7,3,7
2752096,Salesforce SIs - PST,COMPLETED,8,2,4
2502866,Campaign data CAM - GCC - FMCG - 2nd cycle,COMPLETED,5,5,5
2502466,Saudi Arabia - Ahmad - Cycle 2 - Compass,COMPLETED,6,4,8
2352049,Job Change Aug - Africa,COMPLETED,6,4,8
2352031,Job Change Aug - KSA,COMPLETED,9,1,9
2288958,SAP List  - Mahima - India 2,COMPLETED,7,3,7
2225243,Kushal's  Viswakarma Alumni -Sarthak 20.06.25,COMPLETED,7,3,5
1673322,LinkedIn and Google Ads Forms,COMPLETED,5,5,5
1651398,CHRO- Attendees,COMPLETED,5,5,5
1495490,Website Visitors Plum- Common Room,COMPLETED,3,7,7
3188362,P1_EVENTS_DURINGEVENT_US_EMAIL_naitik_16APR26P0,COMPLETED,5,4,5
3138799,Pre-Event Outreach – Transformational CHRO Denver,COMPLETED,7,2,7
2998153,Already using a Solution- HR profiles -AFRICA - BATCH 1,PAUSED,7,2,7
2893578,GCC HR and Procurement Batch 2,PAUSED,6,3,6
2573662,5k+ below $500 data Batch 4,COMPLETED,5,4,5
2539778,Jha - HR ,COMPLETED,4,5,5
2516745,HARJEET - Sales and marketing,COMPLETED,7,2,7
2480603,Anand Pillai and atma - HR,COMPLETED,5,4,5
2303784,Client List- Workplace by META - India,COMPLETED,5,4,5
2253964,HR- Engagement Isn't one -size fits-All - KSA Set 2,COMPLETED,7,2,8
2216598,Ignyte Data - ROW,COMPLETED,5,4,6
1744644,India SMB CAM - Sales,COMPLETED,5,4,4
1494887,Website Visitors Empuls - Common Room,COMPLETED,3,6,6
3182374,P3_ABM_FINTECH_LOYALIFE_21APR,ACTIVE,5,3,5
3119941,EU/UK Campaign Mary - (inbound),ACTIVE,2,6,7
2998168,Already using a Solution- HR profiles -AFRICA - BATCH 2,PAUSED,6,2,6
2743002,SAP AEs Campaign,COMPLETED,7,1,7
2607780,Christmas Reachout Procurement - Philippines Data,COMPLETED,4,4,4
2573660,5k+ below $500 data Batch 3,COMPLETED,4,4,4
2539749,Kunjal - HR,COMPLETED,5,3,6
2498477,Gautam - HR,COMPLETED,4,4,4
2409032,Ankit bajaj campaign - Diwali - 2,COMPLETED,5,3,5
2351540,Campaign data CAM - GCC - Loyalife Marketing,COMPLETED,6,2,6
2331250,Vantage Circle_product_signals,COMPLETED,8,0,8
2241453,Naveen's Existing and non Existing IIM K alumni,COMPLETED,5,3,4
1989509,Cross-Border gifting- ROW,COMPLETED,4,4,4
1910710,HR India data - 09.05.25 - Set 1,COMPLETED,5,3,6
1849792,Abhimanyu US F2F  - Orlando,COMPLETED,7,1,6
1535857,HiBob- Set 2- Americas,COMPLETED,4,4,4
1459466,Minu's LinkedIn Leads,COMPLETED,4,4,4
3155581,P0_Event_CarrotAndStakes_Seattle_Email_ShameelRakesh_24Apr26,ACTIVE,4,3,5
3055124,Middle East Tragedy Outreach - BATCH 2,COMPLETED,5,2,5
3054035,WellXAI 7-day free trial offer - Middle East - BATCH 1,COMPLETED,6,1,7
3003048,India Sales &trade marketing - exisiting solution - BATCH 1,PAUSED,5,2,6
2948337,ET Nextech Gurugram ,PAUSED,2,5,5
